Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
"PENNSYLVANIA: READING, FELT TO CANADA",40.33,-76.037,,1,,1
CALIFORNIA:  NORTHRIDGE,34.213,-118.537,60,4,2,4
INDONESIA:  KAU,1.015,127.733,9,2,1,2
WYOMING:  AFTON,42.762,-110.976,,1,,1
"UGANDA:  FORT PORTAL, KASESE; ZAMBIA",0.593,30.037,9,4,1,4
"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG",-4.967,104.302,207,4,3,4
IRAN:  SISTAN,30.853,60.596,6,2,1,2
IRAN:  SOUTHERN:  FIRUZABAD,29.096,52.617,2,1,1,1
HAITI: SAINT-LOUIS DU NORD,19.803,-72.799,4,1,1,1
FIJI ISLANDS,-18.039,-178.413,,,,
JAPAN:  OFF EAST COAST OF HONSHU ISLAND,40.608,143.683,,,,
"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ",36.901,67.163,160,,3,
TAIWAN,23.959,122.448,,,,
INDONESIA:  JAVA,-10.477,112.835,,1,3,2
INDONESIA:  JAVA,-10.362,112.892,,,,
INDONESIA:  JAVA,-10.777,113.366,,,,
"TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO",24.511,121.905,1,2,1,2
INDONESIA:  JAVA,-10.341,113.369,,,,
"COLOMBIA:  CAUCA, HUILA",2.917,-76.057,650,2,3,2
"BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA",-13.841,-67.553,5,2,1,2
NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH,-42.963,171.658,,1,,1
"IRAN:  FIRUZABAD, SHIRAZ",28.968,52.614,3,3,1,3
ALGERIA:  MASCARA,35.52,-0.106,171,4,3,4
CALIFORNIA:  NORTH:  HONEYDEW,40.402,-125.68,,1,,1
TAIWAN REGION,22.528,118.711,1,2,1,2
RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO,43.773,147.321,11,3,1,3
INDONESIA:  HALMAHERA,-1.258,127.98,1,2,1,2
RUSSIA:  KURIL ISLANDS,43.905,147.916,,,,
PHILIPPINES:  MINDORO,13.525,121.067,81,2,2,2
"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE",40.741,-124.31,,2,,2
JAPAN:  HONSHU,40.525,143.419,3,4,1,4
"CHINA:  GUANGXI PROVINCE, GUANDONG PROVINCE",20.524,109.33,,2,,2
"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA",34.59,135.069,6434,4,4,4
"COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES",5.05,-72.916,7,2,1,2
NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH,-37.759,178.752,,,,
"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA",4.104,-76.622,45,4,1,4
"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA",35.046,32.279,2,2,1,2
INDONESIA:  IRIAN JAYA REGION,-4.183,135.109,,1,,1
"JAPAN:  NIIGATA PREFECTURE, SADO",37.925,139.186,,2,,
SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE,-15.199,-173.529,,,,
PHILIPPINES:  SAMAR,12.059,125.58,,,,
PHILIPPINES:  SAMAR,12.047,125.92,,,,
"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA",40.149,21.695,,4,,4
"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA",-8.452,125.049,,,1,1
NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA,-23.008,169.9,,,,
"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO",52.629,142.827,1989,4,4,4
"GREECE:  AIYION, ERATINI",38.401,22.283,26,4,1,4
"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND",21.966,99.196,11,4,1,4
"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI",36.427,103.123,14,3,1,3
"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES",-23.34,-70.294,3,2,1,2
"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN",-5.799,154.178,,1,,1
"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY",16.779,-98.597,3,2,1,2
"TURKEY:   DINAR, EVCILER",38.063,30.134,95,4,2,4
ECUADOR:  QUITO,-2.75,-77.881,2,1,1,1
ALASKA:  FAIRBANKS NORTH STAR COUNTY,65.17,-148.565,,1,,1
"INDONESIA:  SUMATERA, JAMBI PROVINCE",-2.045,101.436,84,4,2,4
"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE",19.055,-104.205,49,2,1,2
JAPAN:  RYUKU IS.,27.929,130.175,,,,1
JAPAN:  RYUKU IS.,28.094,130.148,,,,
CHINA:  YUNNAN PROVINCE:  WUDING,26.003,102.227,81,4,2,4
CHILE:  NEAR CENTRAL COAST,-28.906,-71.417,,,,
EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN,28.826,34.799,11,2,1,2
"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR",44.663,149.3,,,,
"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",0.729,119.931,,1,1,2
CHINA:  YUNNAN PROVINCE:  LIJIANG,27.291,100.276,322,4,3,4
"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI",-0.891,136.952,54,2,3,2
"PERU:  NORTHERN:  CHIMBOTE, CALLAO",-9.593,-79.587,,,1,
MEXICO:  OFF COAST OF GUERRERO,15.978,-98.07,,,,
"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI",39.993,76.696,24,3,1,3
"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO",-1.036,-78.737,27,3,1,3
SOLOMON ISLANDS:  BOUGAINVILLE ISLAND,-6.518,154.999,1,2,1,2
"CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT",40.774,109.661,23,4,1,4
ALASKA:  ANDREANOF ISLANDS,51.564,-177.632,,,,
ALASKA:  ANDREANOF ISLANDS,51.478,-176.847,,,,
"HONSHU ISLAND, JAPAN",31.555,139.931,,,,
CHILE:  EASTER ISLAND REGION,-22.118,-113.436,,,,
"BALKANS NW:  CROATIA:  STON, SLANO",42.803,17.936,,3,,3
TAIWAN REGION,21.898,121.498,,,,
JAPAN:  KYUSHU ISLAND,30.568,131.093,,,,
JAPAN:  KYUSHU ISLAND,31.885,131.468,,1,,1
"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA",-14.993,-75.675,14,4,1,4
JAPAN:  KYUSHU,31.789,131.314,,,,
"KYRGYZSTAN:  DZHERGETAL, KOSHTEBE, KAZARMAN",41.026,74.284,,1,,
"MEXICO:  MICHOACAN, ARTEAGA",18.219,-102.756,1,2,1,2
"ALBANIA:  BERAT, URA VAJGURORE, GRAMSH, CERRIK",40.956,19.672,,1,,
CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY,39.474,76.998,12,3,1,3
"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN",37.661,57.291,88,4,2,4
"PAKISTAN:  HARNAI-SIBI, QUETTA",29.976,68.208,60,2,2,2
IRAN:  ARDABIL,38.075,48.05,1100,4,4,4
"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",39.422,76.839,2,3,1,3
"PAKISTAN:  BAJAUR, CHITRAL",34.872,71.62,15,1,1,1
"JAPAN:  KYUSHU, KAGOSHIMA",31.92,130.429,,2,,
"CHINA:  S. XINJIANG, JIASHI COUNTY",39.513,76.865,,3,,3
CHINA:  S. XINJIANG,39.537,76.998,,3,,3
"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA",39.527,76.941,9,4,1,4
SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU,-12.584,166.676,,1,,1
TOBAGO,11.112,-60.892,,4,,4
GUAM,13.986,144.901,,1,,1
"IRAN: BIRJAND, GHAEN;  AFGHANISTAN",33.825,59.809,1728,4,4,4
"AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR",36.411,70.945,1,2,1,2
INDIA:  SOUTHERN:  JABALPUR,23.083,80.041,56,4,2,4
"IRAN:  BIRJAND, QAYEN",33.938,59.475,,2,,3
VENEZUELA:  CARIACO-CUMANA,10.598,-63.486,81,4,2,4
SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE,-26.857,26.619,15,,1,
"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN",4.358,96.494,,2,,2
"ITALY:  CENTRAL:  MARCHE, UMBRIA",43.048,12.879,,1,,1
"ITALY:  CENTRAL:  MARCHE, UMBRIA",43.084,12.812,14,4,1,4
"INDONESIA:  SULAWESI, PAREPARE",-3.776,119.727,20,2,1,2
JAPAN:  HONSHU:  S,31.959,141.878,,,,
TONGA ISLANDS,-22.101,-176.772,,,,
"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA",-30.933,-71.22,8,4,1,4
CHINA:  TIBET (XIZANG PROVINCE),35.069,87.325,,,,
"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI",37.57,20.656,,1,,
"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH",22.212,92.702,23,1,1,1
"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO",1.241,122.536,,1,,
"RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK",54.841,162.035,,,,
"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",41.083,114.5,70,4,2,4
"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",14.374,-91.473,,1,,1
"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO",15.883,-96.298,,2,,2
AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE,37.075,70.089,2323,4,4,4
"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR",36.479,71.086,1,2,1,2
"IRAN:  GOLBAF, BAFT, KERMAN",30.154,57.605,5,3,1,3
"CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR",39.977,76.731,,1,,1
BALLENY ISLANDS,-62.877,149.527,,,,
"ITALY:  CENTRAL:  GUALDO, TADINO-NOCERA UMBRA",43.164,12.701,,1,,1
"IRAN:  BIRJAND, GONABAD",32.457,59.976,12,2,1,2
"AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID",46.245,13.652,1,2,1,2
TAIWAN,22.306,125.308,,,,
"BOLIVIA:  CENTRAL:  AIQUILE, TOTORA",-17.731,-65.431,105,3,3,3
CHINA:  SOUTHERN XINJIANG,37.388,78.843,,3,,3
"AFGHANISTAN:  BADAKHSHAN, TAKHAR",37.106,70.11,4700,3,4,3
"SANRIKU, JAPAN",39.027,143.441,,,,
"TURKEY:  ADANA, CEYHAN",36.878,35.307,145,4,3,4
"AZORES:  FAIAL, PICO, TERCEIRA",38.65,-28.626,10,4,1,4
"ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI",38.717,48.507,,2,,2
"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG",23.407,120.736,5,1,1,1
PAPUA NEW GUINEA:  SISSANO,-2.943,142.582,,,4,3
"ECUADOR:  BAHIA DE CARAQUEZ, CANOA",-0.593,-80.393,3,2,1,2
CHINA:  SOUTHERN XINJIANG:  JIASHI,39.66,77.343,3,3,1,3
"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR",-8.194,112.413,1,1,1,1
"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO",44.209,20.08,1,2,1,2
"ALBANIA:  KUKES, PESHKOPI",41.925,20.39,,2,,2
"IRAN:  WESTERN:  DARREH SHAHR, POL-E-DOKHTAR",33.199,47.225,,1,,1
IRAN:  SOUTHERN:  BIGHERD-KHONJ,27.791,53.608,5,2,1,
"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG",27.308,101.029,5,4,1,4
"INDONESIA:  MANGOLE, MANADO, TALIABU",-2.071,124.891,41,4,1,4
CHINA:  YUNNAN PROVINCE  SOUTHEASTERN,26.373,104.021,,3,,3
"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA",4.461,-75.724,1185,4,4,4
"RUSSIA:  MAKHACHKALA, DAGESTAN",42.962,46.954,,1,,1
"SPAIN:  MULA, PUEBLA DE MULA",38.193,-1.566,,4,,4
"AFGHANISTAN:  LOWGAR, VARDAK, KABUL",34.259,69.364,70,3,2,3
IRAN:  SOUTHERN:  KERMAN,28.343,57.193,1,2,1,2
CHINA:  NE: ZHANGBEI COUNTY,41.131,114.658,,2,,2
"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL",30.512,79.403,100,4,2,4
"PERU:  CAMANA, AREQUIPA",-16.66,-72.662,1,2,1,2
IRAN:  SOUTHERN:  FARS PROVINCE,29.501,51.88,26,2,1,2
"AZERBAIJAN:  AGDAS, UCAR, AGALI",40.802,47.448,1,2,1,2
"MEXICO:  PUEBLA, VERACRUZ, OAXACA, MORELOS, GUERRERO",18.386,-97.436,20,4,1,4
MEXICO:  GUERRERO:  COAHUAYUTLA; MICHOACAN: CUITZEO,18.324,-101.539,,3,,3
GUATEMALA:  IZABAL-PUERTO BARRIOS; HONDURAS:  W,15.782,-88.33,2,2,1,2
"BANGLADESH:  MAHESHKHALI ISLAND, COX'S BAZAAR",21.544,91.895,6,3,1,3
"TURKEY:  ISTANBUL, KOCAELI, SAKARYA",40.76,29.97,17118,4,4,4
TURKEY:  IZMIT,40.711,29.949,1,1,1,1
GREECE:  ATHENS,38.119,23.605,143,4,3,4
TURKEY:  ADAPAZARI-GOLUCK-KOCAELI,40.709,30.045,7,1,1,1
"TAIWAN:  NANTOU, TAICHUNG, TAIZHONG",23.834,120.813,2297,4,4,4
TAIWAN:  CENTRAL,23.738,121.158,,1,1,1
MEXICO:  OAXACA,16.059,-96.931,35,4,1,4
"CALIFORNIA:  LUDLOW, LANDERS, TWENTYNINE PALMS",34.594,-116.271,,1,,1
TAIWAN:  CHIA-I,23.445,120.506,1,1,1,1
"PERU:  CHUSCHI, CANGALLo, HUANCAPI",-13.64,-74.43,,3,,3
CHINA:  SHANXI:  NORTHEASTERN,39.899,113.983,,4,,4
"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK",40.744,30.266,2,,1,
"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK",40.758,31.161,894,4,3,4
CHINA:  YUNNAN PROVINCE:  CHENGJIANG,24.589,102.872,1,1,1,1
IRAN:  GORGAN,36.92,54.9,,1,,1
VANUATU ISLANDS:  PENTECOST,-16.423,168.214,5,2,1,3
CHINA:  NORTHEASTERN:  SANJIANFANG,40.459,122.889,,1,,1
"TURKEY:  GORESKEN, ERZURUM PROVINCE",40.358,42.346,1,2,1,2
"PHILIPPINES:  S LUZON:  MANILA, SANTA CRUZ",15.766,119.74,5,2,1,2
"INDONESIA:  PANDEGLANG, W JAWA, SE SUMATERA",-6.845,105.555,5,2,1,2
ALGERIA:  NORTHERN:  AIN TEMOUCHENT,35.321,-1.281,24,4,1,4
INDIA-BANGLADESH BORDER:  MAHESHKHALI,22.132,92.771,,1,,1
CHINA:  LIAONING PROVINCE,40.498,122.994,,3,,3
CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY,25.607,101.063,5,4,1,4
"IRAN:  BARDASKAN, KASHMAR",35.288,58.218,1,2,1,2
SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI,-26.288,30.888,,1,,1
JAPAN:  VOLCANO ISLANDS,22.338,143.73,,,,
GREECE:  CRETE,34.22,25.69,,,,
"INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,",-1.105,123.573,54,4,2,4
"TURKEY:  DOGANYOL, PUTURGE",38.164,38.777,,2,,2
TAIWAN:  TAI-CHUNG COUNTY,24.223,121.058,3,1,1,1
"INDONESIA:  SUMATRA:  BENGKULU, ENGGANO",-4.721,102.087,103,3,3,3
"TURKEY:  CERKES, CUBUK, ORTA",40.693,32.992,2,3,1,3
CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR,26.856,97.238,,1,,1
INDONESIA:  SOUTHERN SUMATERA:  LAHAT,-4.612,101.905,1,2,1,2
TAIWAN:  NAN-TOU,23.843,121.225,2,1,1,1
"ICELAND:  VESTMANNAEYJAR, HELLA",63.966,-20.487,,3,,3
"AUSTRALIA:  S, COCOS ISLANDS",-13.802,97.453,,,,
"ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI",63.98,-20.758,,3,,3
JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA,34.221,139.131,1,1,1,1
NICARAGUA:  MASAYA,11.884,-85.988,7,3,1,3
"INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT",-6.675,106.845,,2,,2
JAPAN:  NEAR S COAST HONSHU:  NII-JIMA,34.319,139.26,,1,,1
"PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS",20.253,122.043,,2,,2
JAPAN:  HONSHU:  S,33.901,139.376,,1,,1
"RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV",48.786,142.246,,1,,1
CHINA:  YUNNAN PROVINCE:  WUDING,25.826,102.194,1,4,1,4
CALIFORNIA:  NAPA,38.379,-122.413,,4,,4
"TANZANIA:  NKANSI, RUKWA",-7.977,30.709,,1,,1
"JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI",35.456,133.134,,4,,4
AFGHANISTAN-TAJIKISTAN:  RAKHOR,37.542,69.582,,2,,2
PANAMA-COLOMBIA:  JURADO,7.042,-77.829,,2,,2
"PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK",-4.001,152.327,2,2,1,2
"PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN",-5.233,153.102,,1,,1
PAPUA NEW GUINEA:  NEW BRITAIN,-5.496,151.781,,,,
AZERBAIJAN:  BAKU,40.245,49.946,31,1,1,1
TURKMENISTAN:  NEBITDAG-TURKMENBASHI,39.566,54.799,11,1,1,1
TURKEY:  AFYON-BOLVADIN,38.457,31.351,6,1,1,1
PHILIPPINES:  MINDANAO,6.898,126.579,,,,
EL SALVADOR; GUATEMALA,13.049,-88.66,844,4,3,4
"INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN",23.388,70.326,20005,4,4,4
EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP,13.671,-88.938,315,4,3,4
LAOS;  VIETNAM: DIENBIEN PHU,21.396,102.715,,3,,3
"CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG",29.513,101.129,3,3,1,3
"WASHINGTON:  OLYMPIA, SEATTLE, TACOMA",47.149,-122.727,1,4,1,4
"JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",34.083,132.526,2,4,1,4
EL SALVADOR:  CONCHAGUA,13.605,-88.795,1,2,1,2
CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN,27.689,101.003,2,4,1,4
AFGHANISTAN:  HINDU KUSH:  PARVAN,35.169,69.389,4,1,1,
"PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO",-16.265,-73.641,77,4,3,4
TURKEY:  OSMANIYE,37.238,36.206,,1,,1
"PERU:  CARAVELI, CHALA, ARICA, IQUIQUE, PARINACOTA",-16.086,-73.987,,2,,2
"PERU:  AREQUIPA, ARICA",-17.543,-72.077,1,2,1,2
CHINA:  YUNNAN PROVINCE:  JIANGCHUAN,24.455,102.66,,1,,1
GREECE:  SKYROS,39.059,24.244,,1,,1
PERU:  ANTABAMA,-14.258,-72.683,4,2,1,2
CALIFORNIA:  LOS ANGELES,34.059,-118.387,,1,,1
CANADA:  QUEEN CHARLOTTE ISLANDS,52.63,-132.2,,,,
GUAM,12.686,144.98,,2,,2
INDONESIA:  BANDA SEA,-4.102,123.907,,,,
CHINA:  YUNNAN PROVINCE:  YONGSHENG,26.316,100.648,1,2,1,2
CHINA:  QINGHAI PROVINCE:  XIDATAN,35.946,90.541,,1,,1
TAIWAN,23.954,122.734,,,,
BANGLADESH:  DHAKA,23.632,90.376,,1,,1
"VANUATU ISLANDS:  EFATE, PORT VILA",-17.6,167.856,,1,,1
TAJIKISTAN:  ROGHUN,38.673,69.902,3,2,1,2
PAPUA NEW GUINEA:  AITAPE,-3.212,142.427,1,2,1,2
"CHILE: NORTHERN: CUYA, HUARA, IQUIQUE, POZO ALMONTE",-19.384,-69.231,,1,,1
RWANDA:  GISENYI,-1.684,29.077,,2,2,3
"MEXICO:  VERACRUZ:  SAN ANDRES TUXTLA, TUXTEPEC",18.194,-95.908,,1,,1
TURKEY:  AFYON,38.573,31.271,44,2,1,2
TAJIKISTAN:  ROGHUN,38.773,69.924,,1,,1
IRAN:  BAGHAN,28.093,51.755,1,2,1,2
"MEXICO:  MEXICALI, BAJA CALIFORNIA",32.319,-115.322,,1,,1
"AFGHANISTAN:  HINDU KUSH:  SAMANGHAN, KABUL, RUSTAQ",36.502,70.482,166,3,3,3
PHILIPPINES:  MINDANAO,6.033,124.249,15,2,1,2
"AFGHANISTAN:  HINDU KUSH:  BAGHLAN, NAHRIN",36.062,69.315,1000,4,3,4
JAPAN:  RYUKYU ISLANDS,23.346,124.09,,,,
TAIWAN:  TAIPEI,24.279,122.179,5,2,1,2
"CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",-29.67,-71.384,,1,,1
TAJIKISTAN; AFGHANISTAN: DO ABI-NAHRIN,39.959,69.417,50,2,1,
"CHILE:  COPIAPO, TALTAL",-27.535,-70.586,,2,,2
"NEW YORK:  CLINTON, ESSEX, AU SABLE FORKS",44.513,-73.699,,1,,1
BALKANS NW:  KOSOVO; MACEDONIA:  N,42.436,21.466,1,1,1,1
IRAN:  WESTERN:  KERMANSHAH,34.642,47.4,2,4,1,4
GEORGIA:  TBILISI,41.765,44.96,5,3,1,3
GUAM,13.088,144.619,,1,,1
TANZANIA:  BUNDA,-2.907,33.733,2,2,1,2
"ARGENTINA:  AMINGA, ANILLACO, AGUA BLANCA, CHUQUIS",-28.937,-66.797,,2,,2
"BANGLADESH:  RANGPUR, THAKURGAON, ALMANAGAR",25.842,88.932,,1,,1
IRAN:  AB GARM-ABHAR-AVAJ-SHIRIN SU,35.626,49.047,261,4,3,4
"GERMANY:  AACHEN, COLOGNE, SPANGDAHLEM",50.889,6.103,,1,,1
"PANAMA:  BARU, ALANJE, DAVID; COSTA RICA:  LAUREL",7.929,-82.793,,2,,2
CHINA:  SICHUAN PROVINCE:  RULONG,30.916,99.927,,1,,1
NORTHERN MARIANA ISLANDS:  SAIPAN,14.101,146.199,,1,,1
INDONESIA:   SULAWESI:  TOJO,-1.196,121.333,48,2,1,2
FIJI ISLANDS,-21.696,-179.513,,,,
FIJI ISLANDS,-23.884,178.495,,,,
EGYPT:  CAIRO,30.2,31.41,,1,,1
"IRAN: KAK, RAZAN, SIZAN",35.701,48.838,,1,,1
KYRGYZSTAN,39.77,72.007,,1,,1
ITALY:  SICILY:  PALERMO,38.381,13.701,2,4,1,4
"PAPUA NEW GUINEA:  KAIRIRU IS, MUSCHU IS, WEWAK",-3.26,142.94,4,3,1,3
"INDIA:  ANDAMAN ISLANDS:  RONGAT, DIGLIPUR,ARIEL BAY",13.036,93.068,2,1,1,2
INDONESIA:  NEW GUINEA:  IRIAN JAYA:  RANSIKI,-1.68,134.234,,1,,1
"UNITED KINGDOM:  MANSFIELD, DUDLEY",52.52,-2.15,,1,,1
MEXICO:  ACAPULCO,16.87,-100.113,,1,,1
IRAN:  MASJED-E SOLEYMAN,31.995,49.329,,2,,2
"FRANCE:  HENNEBONT, LANGUIDIC, LORIENT, TREMOREL",47.832,-3.207,,1,,1
"INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",-1.757,134.297,8,3,1,3
"ALASKA:  CANTWELL, DENALI NATL PARK",63.514,-147.912,,2,,2
"CONGO: GOMA, LWIRO, BUKAVU; RWANDA:  MUGERA, KIGALI",-1.884,29.004,2,1,1,1
ITALY:  SICILY:  SANTA VENERINA,37.67,15.267,,1,,1
"ITALY:  SAN GUILIANO DI PUGLIA, CAMPOBASSO",41.789,14.872,30,4,1,4
PAKISTAN:  GILGIT,35.517,74.654,11,3,1,3
INDONESIA:  SUMATERA:  SIMEULUE,2.824,96.085,3,3,1,3
"ALASKA:  SLANA, MENTASTA LAKE, FAIRBANKS",63.517,-147.444,,4,,4
"PAKISTAN:  DASHKIN, DOIAN, MUSHKIN",35.414,74.515,19,3,1,3
VANUATU ISLANDS: MERE LAVA ISLAND,-14.49,167.827,,2,,2
"GREECE:  MEGALOPOLIS, VARTHOLOMION",37.747,21.087,,2,,2
CHINA:  GANSU PROVINCE:  YUMNE,39.736,97.443,2,3,1,3
IRAN:  KERMANSHAH,34.594,47.454,,3,,3
CHINA:  XINJIANG:  WUQIA,39.57,75.254,,1,,1
AFGHANISTAN:  JALALABAD,35.704,69.868,,1,,1
"IRAN:  KAZERUN, NURABAD",29.59,51.474,,3,,3
"SOLOMON ISLANDS:  HONIARA, SAN CRISTOBAL",-10.491,160.77,,,,
"MEXICO:  VILLA DE ALVAREZ, COLIMA, TECOMAN, JALISCO",18.77,-104.104,29,3,1,3
INDONESIA:  SUMBAWA ISLAND:  DOMPU,-8.807,118.524,,2,,2
"ITALY:  SPINELLO, SANTA SOFIA, BAGNO DI ROMAGNA",43.883,11.96,,1,,1
"TURKEY:  SAGLAMTAS, PULUMUR",39.5,39.878,1,1,1,1
CHINA:  N. XINJIANG:  URUMQI,43.897,85.923,,1,,1
PHILIPPINES: LUZON:  DIMASALANG,12.171,123.921,,1,,1
"PHILIPPINES: MASBATE, DIMASALANG",12.168,124.079,,1,,1
CALIFORNIA:  BIG BEAR CITY,34.31,-116.848,,1,,1
"FRANCE:  BACCARAT, COLMAR, THANN; GERMANY:  EDIGEN",48.342,6.57,,1,,1
CHINA:  S. XINJIANG:  BACHU,39.61,77.23,261,4,3,4
CHINA:  S. XINJIANG:  BACHU,39.483,77.393,5,1,1,1
"INDONESIA:  JAVA:  CARACAS, CILIMUS, SAMPORA",-6.983,108.468,,2,,2
GERMANY:  ALBSTADT,48.21,9,,1,,1
INDONESIA:  FLORES:  REO,-8.294,120.743,4,1,1,1
BHUTAN:  PHUENTSHOLING,27.264,89.331,,1,,1
"TURKEY:  IZMIR, SEFERIHISAR",38.221,26.958,,2,,2
CHINA:  QINGHAI PROVINCE:  DELINGHA,37.529,96.476,,1,,1
"ALABAMA:  FORT PAYNE,GAYLESVILLE,VALLEY HEAD",34.494,-85.629,,1,,1
TURKEY:  BINGOL,39.007,40.464,177,3,3,3
CHINA:  S. XINJIANG:  YOPURGA,39.43,77.219,1,3,1,3
"ALGERIA:  ALGIERS, BOUMERDES, REGHIA, THENIA",36.964,3.634,2287,4,4,4
"JAPAN:  HONSHU:  IWATE, MIYAGI, YAMAGATA, AKITA",38.849,141.568,,4,,4
"INDONESIA:  MOROTAI, BEREBERE, DARUBA",2.354,128.855,1,1,1,1
"ALGERIA:  ALGIERS, BOUMERDES, REGHAIA",36.939,3.578,9,2,1,2
KENTUCKY:  BARDWELL,36.87,-88.98,,1,,1
"GREECE:  GONNOI, LARISA",39.893,22.309,,1,,1
"CHILE:  OVALLE, COQUIMBO; ARGENTINA:  SAN JUAN",-30.608,-71.637,,1,,1
