Location Name,lat,lon,Deaths,Damage Description,Total Death Description,Total Damage Description
"SYRIA:  MALATYA,DIMASHQ; LEBANON; TURKEY:  ANTAKYA",38.4,38.35,20000,4,4,4
ISRAEL,32,35.5,,3,,
"ICELAND:  SOUTHLAND,GRIMSNES",64.3,-20,19,,,
ITALY:  SICILY:  SIRACUSA (SYRACUSE); CALABRIA,37.3,15.03,16000,3,4,3
"SYRIA:  HALAB (ALEPPO),DIMASHQ (DAMASCUS)",36.2,37.2,80000,3,4,3
LEBANON:  TARABULUS (TRIPOLI),34.4,35.8,,3,,
ITALY:  SICILY,38,15,,,3,
"IRAN:  REY (RAY),QAZVIN",35.3,51.2,,3,,
TURKMENISTAN,37.5,65.5,,,,
IRAN:  REY-QAZVIN,36.3,50,,3,,
TURKEY:  ANTIOCH; SYRIA:DAMASCUS; LEBANON:TRIPOLIS,36.1,36.1,,3,,
ITALY:  ARIANO,41.1,15.1,,,,
SYRIA:  BUSRA; ISRAEL:  PALESTINE,32.6,36.7,,3,,
ICELAND:  SOUTHLAND,64,-21,11,,,
SYRIA:  DIMASHQ; TURKEY: ANTAKYA; LEBANON: TRIPOLI,34.5,36.5,20000,3,4,3
ITALY:  COSENZA,39.3,16.2,,3,,
BALKANS NW:  SLOVENIA:  STYRIA,46.4,15.3,,3,,3
SYRIA:  SOUTHWESTERN,33.5,36,30000,4,4,4
CHINA:  FUJIAN PROVINCE:  KIEN NAN CHAN,27.1,118.4,,,3,
"IRAN:  NEYSHABUR (NEISHABUR),FIRRIM",36.3,57.6,,3,,
TURKMENISTAN:  GURGANDZHE,42,60,2000,3,,
CHINA:  SHAANXI PROVINCE:  FUSHAN,36,111.8,3000,3,4,3
IRAN:  NISHAPUR,36,58.8,,3,,
EGYPT:  AL-QAHIRAH (CAIRO),30.5,31.3,,,,
CHINA:  NINGXIA,36,106.2,10000,4,4,4
CYPRUS,34.5,33,,,,
ITALY:  BRESCIA,45.55,10.22,12000,4,4,4
ITALY:  SIPONTO,41.6,15.9,,,,
CHINA:  NINGXIA,38.5,106.3,,1,,1
"FRANCE:  LAMBESC,  HIGH ALPS,PROVENCE",43.6,5.3,5000,3,,
TURKEY: ISTANBUL (CONSTANTINOPLE),41,28.6,,1,,1
"ITALY:  S. GERMANO, MONTECASSINO",41.5,13.8,,2,,2
ITALY:  VENEZIA (VENICE),45.3,12.2,,3,,
ALBANIA,41.3,19.5,,,,
IRAN:  GONABAD (DASHT-E-BAYAZ-GONABAD),34.2,58.4,,3,,
ALBANIA:  DURRES,41.2,19.3,,,,
JAPAN:  KAMAKURA,35.2,139.4,,,,1
ITALY:  SABAUDIA,41,13,9000,4,,
NEPAL:  KATHMANDU,27.7,85.3,,3,3,3
JAPAN:  SAGAMI BAY,35.2,139.5,,1,,1
"SANRIKU, JAPAN",39,144,,,,
ITALY:  TRAPANI,38,12.5,,,,
IRAN:  NEYSHABUR (NEISHABUR),36,58.8,,3,,
TURKEY:  ERZINCAN,39.75,39.5,15000,3,4,3
"TURKEY:  CICILIA, CEYHAN (SEYHAN)",,,8000,3,4,3
IRAN:  TABRIZ,38,46.2,250,2,,
ALBANIA:  DURRES,41.3,19.7,,,,
ITALY:  POTENZA,40.6,15.8,,,,
GEORGIA,42.1,44.2,,3,,
